db_id,price,date_of_transfer,postcode,property_type,new_build_flag,tenure_type,locality,town_city,district,county,country,latitude,longitude
24295569,42500,2019-12-06,DY10 1LN,F,N,L,HOOBROOK,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37210800,-2.24422100
24552169,58000,2019-06-19,DY10 1LN,F,N,L,HOOBROOK,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37210800,-2.24422100
24734667,40500,2019-03-19,DY10 1LN,F,N,L,HOOBROOK,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37210800,-2.24422100
25087196,34000,2019-03-01,DY10 1LN,F,N,L,HOOBROOK,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37210800,-2.24422100
25146186,41500,2019-10-23,DY10 1LN,F,N,L,HOOBROOK,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37210800,-2.24422100
24373452,187000,2019-02-01,DY10 1LP,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37393400,-2.24342300
24418318,287500,2019-11-08,DY10 1LT,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37818400,-2.24447400
24645556,210000,2019-12-05,DY10 1LT,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37818400,-2.24447400
24365669,43000,2019-02-01,DY10 1LW,F,N,L,HOOBROOK,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37157600,-2.24501100
25087604,45000,2019-03-01,DY10 1LW,F,N,L,HOOBROOK,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37157600,-2.24501100
24513985,164250,2019-07-05,DY10 1LZ,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37956700,-2.24546600
24536748,165000,2019-07-19,DY10 1LZ,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37956700,-2.24546600
24918196,150000,2019-04-18,DY10 1LZ,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37956700,-2.24546600
24862260,172000,2019-08-28,DY10 1NA,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38017000,-2.24492600
24299923,190000,2019-12-19,DY10 1ND,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38244100,-2.24248500
24853036,174000,2019-03-15,DY10 1ND,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38244100,-2.24248500
24643519,220000,2019-08-30,DY10 1NG,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37868200,-2.24300800
24697641,225000,2019-12-19,DY10 1NG,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37868200,-2.24300800
24375018,220000,2019-01-31,DY10 1NL,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37869000,-2.24342000
24655071,72500,2019-09-13,DY10 1NN,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37305400,-2.24741300
24842924,5000,2019-06-07,DY10 1NN,O,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37305400,-2.24741300
24970288,77000,2019-10-01,DY10 1NN,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37305400,-2.24741300
24274740,177000,2019-03-22,DY10 1NP,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37420400,-2.24769900
24373027,245000,2019-02-15,DY10 1NR,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37381200,-2.24593400
24438450,100000,2019-10-31,DY10 1NS,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37486500,-2.24530800
24276353,187950,2019-03-22,DY10 1NW,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37285000,-2.24607500
24524233,137500,2019-06-14,DY10 1NW,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37285000,-2.24607500
25016947,144000,2019-02-01,DY10 1NW,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37285000,-2.24607500
25051892,143000,2019-09-27,DY10 1NW,S,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37285000,-2.24607500
24442442,90000,2019-10-25,DY10 1NX,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38406100,-2.24165700
24589690,110000,2019-06-19,DY10 1NX,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38406100,-2.24165700
24649826,241000,2019-11-29,DY10 1NX,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38406100,-2.24165700
24945526,102000,2019-03-29,DY10 1NX,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38406100,-2.24165700
24989806,105500,2019-08-30,DY10 1NX,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38406100,-2.24165700
24991755,84500,2019-07-26,DY10 1NX,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38406100,-2.24165700
24572968,310000,2019-07-26,DY10 1NY,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38310800,-2.24179800
24643537,108000,2019-06-07,DY10 1PH,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37887600,-2.24496300
24800581,175000,2019-12-05,DY10 1PH,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37887600,-2.24496300
25175573,175000,2019-12-05,DY10 1PH,O,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37887600,-2.24496300
24989798,125000,2019-07-29,DY10 1PJ,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37845300,-2.24507800
24651812,175000,2019-11-29,DY10 1PL,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37882000,-2.24575600
24653280,134000,2019-08-19,DY10 1PL,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37882000,-2.24575600
24673902,105000,2019-10-31,DY10 1PL,S,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37882000,-2.24575600
24378569,154000,2019-02-08,DY10 1PR,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38936300,-2.23817400
24530925,157000,2019-01-11,DY10 1PU,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38867000,-2.24287200
24534835,145000,2019-07-26,DY10 1PU,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38867000,-2.24287200
24840670,129500,2019-08-29,DY10 1PU,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38867000,-2.24287200
25016025,110000,2019-11-11,DY10 1PU,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38867000,-2.24287200
24985557,96000,2019-09-06,DY10 1PY,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38660300,-2.24269900
24188991,81000,2019-04-26,DY10 1PZ,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38592900,-2.24246000
24460028,150000,2019-03-29,DY10 1PZ,O,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38592900,-2.24246000
24520243,83500,2019-07-03,DY10 1PZ,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38592900,-2.24246000
24868266,85000,2019-08-30,DY10 1PZ,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38592900,-2.24246000
25018923,145000,2019-02-15,DY10 1PZ,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38592900,-2.24246000
24837288,195500,2019-02-18,DY10 1QG,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38556900,-2.24273700
24840957,2000,2019-07-01,DY10 1QG,O,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38556900,-2.24273700
24600213,125000,2019-11-25,DY10 1QP,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38482800,-2.24262600
24647926,150000,2019-12-06,DY10 1RL,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38933500,-2.24322800
24658904,160000,2019-08-12,DY10 1RL,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38933500,-2.24322800
24278350,102500,2019-04-18,DY10 1RN,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38920100,-2.24286000
24420362,215000,2019-11-08,DY10 1RN,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38920100,-2.24286000
24587681,65000,2019-05-10,DY10 1RN,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38920100,-2.24286000
24735508,165000,2019-03-29,DY10 1RN,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38920100,-2.24286000
24800577,160000,2019-12-20,DY10 1RN,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38920100,-2.24286000
24507950,171500,2019-06-24,DY10 1RP,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38908500,-2.24021000
24740820,152000,2019-10-01,DY10 1RP,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38908500,-2.24021000
24857385,127250,2019-03-20,DY10 1RP,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38908500,-2.24021000
24568944,130248,2019-07-09,DY10 1RR,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38813700,-2.23973900
24529965,155000,2019-08-05,DY10 1RS,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38867800,-2.23883100
24275626,205000,2019-04-02,DY10 1RW,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38890700,-2.24141900
24417260,178000,2019-05-10,DY10 1RW,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38890700,-2.24141900
24633926,91000,2019-09-13,DY10 1SB,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38812400,-2.24166400
24645496,116000,2019-08-01,DY10 1SD,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38805900,-2.23832800
24853466,135000,2019-03-15,DY10 1SD,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38805900,-2.23832800
24868241,131000,2019-09-09,DY10 1SD,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38805900,-2.23832800
25152111,78000,2019-11-11,DY10 1SE,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38741500,-2.24124900
24187089,120000,2019-04-12,DY10 1SF,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38737700,-2.24210100
24655173,125000,2019-11-18,DY10 1SF,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38737700,-2.24210100
24920209,100000,2019-06-28,DY10 1SF,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38737700,-2.24210100
24373875,120000,2019-01-16,DY10 1SH,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38699600,-2.23924800
24204232,108000,2019-04-08,DY10 1SJ,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38592500,-2.23993300
24373882,111000,2019-01-25,DY10 1SJ,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38592500,-2.23993300
24626424,77000,2019-11-19,DY10 1SJ,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38592500,-2.23993300
24784902,77500,2019-10-03,DY10 1SJ,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38592500,-2.23993300
25083303,157500,2019-03-04,DY10 1SJ,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38592500,-2.23993300
24276759,138500,2019-04-02,DY10 1SL,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38805400,-2.23638900
24378270,100000,2019-02-08,DY10 1SL,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38805400,-2.23638900
24840356,128000,2019-07-16,DY10 1SL,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38805400,-2.23638900
24955862,155000,2019-09-26,DY10 1SL,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38805400,-2.23638900
24274760,134950,2019-04-01,DY10 1SN,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38722500,-2.23758900
24310456,129000,2019-12-05,DY10 1SN,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38722500,-2.23758900
24376459,136000,2019-10-07,DY10 1SN,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38722500,-2.23758900
24415804,98000,2019-05-08,DY10 1SN,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38722500,-2.23758900
24600206,105000,2019-11-11,DY10 1SN,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38722500,-2.23758900
24919711,138000,2019-05-10,DY10 1SN,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38722500,-2.23758900
24983584,139000,2019-09-02,DY10 1SN,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38722500,-2.23758900
24333001,99000,2019-07-18,DY10 1SP,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38859200,-2.23714100
24531358,90000,2019-01-03,DY10 1SP,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38859200,-2.23714100
25058128,97000,2019-09-20,DY10 1SP,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38859200,-2.23714100
24529957,161500,2019-07-26,DY10 1SQ,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38683100,-2.24106900
25042155,140000,2019-09-06,DY10 1SQ,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38683100,-2.24106900
24866253,175000,2019-08-16,DY10 1ST,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38914500,-2.23501300
24570962,135000,2019-07-19,DY10 1SW,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38570400,-2.23841900
24655212,215000,2019-12-05,DY10 1SW,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38570400,-2.23841900
24838685,138000,2019-08-16,DY10 1SW,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38570400,-2.23841900
25084357,116500,2019-02-28,DY10 1SW,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38570400,-2.23841900
25087177,187000,2019-03-11,DY10 1SW,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38570400,-2.23841900
24373859,114000,2019-01-25,DY10 1SX,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38709900,-2.23529200
24807327,122500,2019-12-20,DY10 1SX,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38709900,-2.23529200
25004226,120000,2019-12-19,DY10 1SX,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38709900,-2.23529200
25016021,150000,2019-10-17,DY10 1SX,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38709900,-2.23529200
25039155,120000,2019-12-19,DY10 1SX,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38709900,-2.23529200
24589682,135000,2019-05-31,DY10 1SY,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38548400,-2.23603700
24857788,110500,2019-03-06,DY10 1SZ,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38623700,-2.23470000
24868268,97900,2019-08-21,DY10 1SZ,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38623700,-2.23470000
24647440,180000,2019-08-30,DY10 1TB,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.39145900,-2.23289500
24653393,149950,2019-06-28,DY10 1TB,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.39145900,-2.23289500
24920226,147500,2019-05-31,DY10 1TB,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.39145900,-2.23289500
24193700,130000,2019-06-21,DY10 1TH,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38858100,-2.23349700
24854282,115000,2019-02-25,DY10 1TH,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38858100,-2.23349700
25056207,280000,2019-09-20,DY10 1TJ,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.39039300,-2.23118500
24574218,124000,2019-06-20,DY10 1TN,O,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38714700,-2.23377900
24520233,310000,2019-07-04,DY10 1TP,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38537000,-2.23434700
24278766,180000,2019-04-03,DY10 1TW,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38717000,-2.23319600
24276332,82000,2019-03-29,DY10 1UA,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38478000,-2.23706200
24460337,330000,2019-03-15,DY10 1UA,O,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38478000,-2.23706200
24649431,250000,2019-11-29,DY10 1UA,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38478000,-2.23706200
24446373,137750,2019-10-11,DY10 1UB,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38579600,-2.23709700
24530495,255000,2019-01-04,DY10 1UB,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38579600,-2.23709700
25087593,142500,2019-03-15,DY10 1UB,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38579600,-2.23709700
24301925,320000,2019-11-27,DY10 1UE,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38434100,-2.23636900
24941533,162500,2019-07-04,DY10 1UQ,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38313400,-2.23767000
24755678,115000,2019-09-27,DY10 1UR,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38205200,-2.23907500
24372292,205000,2019-01-17,DY10 1UY,D,Y,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38388200,-2.23686600
25116797,470000,2019-01-11,DY10 1XB,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38298300,-2.23653800
24428451,255000,2019-10-29,DY10 1XD,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38151600,-2.23766100
25016951,296000,2019-01-29,DY10 1XD,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38151600,-2.23766100
24855440,345000,2019-03-15,DY10 1XE,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38153200,-2.23867500
24187096,787500,2019-05-17,DY10 1XG,O,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38037000,-2.23953600
25171209,405000,2019-11-29,DY10 1XJ,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37429800,-2.24116300
24188978,109000,2019-05-10,DY10 1XL,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37139000,-2.24324700
24917376,120000,2019-04-18,DY10 1XL,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37139000,-2.24324700
24649421,175000,2019-11-26,DY10 1XP,S,N,F,HOOBROOK,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37008000,-2.24234400
24297898,92000,2019-12-17,DY10 1XQ,T,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.36896600,-2.24167700
24537403,111500,2019-06-21,DY10 1XQ,S,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.36896600,-2.24167700
24543221,115000,2019-01-18,DY10 1XQ,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.36896600,-2.24167700
24786877,92000,2019-10-21,DY10 1XQ,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.36896600,-2.24167700
25018521,102000,2019-02-15,DY10 1XQ,S,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.36896600,-2.24167700
25030260,120000,2019-11-01,DY10 1XQ,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.36896600,-2.24167700
25178283,95000,2019-12-16,DY10 1XQ,S,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.36896600,-2.24167700
25117209,143500,2019-01-04,DY10 1XT,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37531200,-2.24228500
24543056,315000,2019-08-16,DY10 1YD,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.36915000,-2.24402800
24177068,320000,2019-06-14,DY10 1YH,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.36764900,-2.24814700
24414677,263000,2019-05-13,DY10 1YH,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.36764900,-2.24814700
25013038,323000,2019-02-01,DY10 1YH,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.36764900,-2.24814700
24545035,295000,2019-08-19,DY10 1YJ,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.36672300,-2.24830300
24371446,145000,2019-01-31,DY10 2AF,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.39409100,-2.25152800
24569599,162250,2019-04-26,DY10 2AF,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.39409100,-2.25152800
24853450,187000,2019-03-22,DY10 2AF,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.39409100,-2.25152800
24416334,50000,2019-11-04,DY10 2AG,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.39339600,-2.25296400
24569929,121000,2019-06-03,DY10 2AL,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.39317100,-2.25280100
24546493,201000,2019-04-18,DY10 2AQ,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.39401700,-2.25271800
24572210,201000,2019-04-18,DY10 2AQ,O,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.39401700,-2.25271800
24920216,200000,2019-06-26,DY10 2AQ,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.39401700,-2.25271800
24187102,315000,2019-05-08,DY10 2BD,O,N,F,,KIDDERMINSTER,WORCESTER,WORCESTERSHIRE,England,52.38859900,-2.24695600
